,Error
0,594.5998528718841
1,580.5227357086641
2,563.2444108563078
3,554.4641950524906
4,552.6467181543952
5,543.9243286591119
6,542.119664608571
7,537.9439077341136
8,532.9673344726701
9,520.051719368269
10,513.1554520818585
11,459.24034843323113
12,404.88609650361565
13,366.4150359826502
14,348.4171422243215
15,301.5947180540599
16,276.04518703663666
17,241.5450458260374
18,204.65868992346495
19,206.6242772518781
20,157.707680627246
21,157.79971641114668
22,184.36386822027606
23,186.94930764394917
24,185.151867826255
25,223.3790109129348
26,231.45301731873295
27,243.06470262699912
28,270.6265885959221
29,276.65888703877414
30,293.9679225308546
31,319.8361324529365
32,337.41751611370614
33,339.75682010903984
34,365.8011482351307
35,369.67240421930944
36,348.67101995158845
37,375.5052526882209
38,361.0665337666257
39,390.0638165048584
40,392.9865558954569
41,393.9040170944981
42,403.5513823908047
43,412.69772759240743
44,408.98356770793947
45,402.6280759620439
46,407.98529411728475
47,395.04880781907815
48,408.77964288331765
49,412.1068180505245
50,409.6012650619145
51,405.2867426777993
52,427.27526432097613
53,431.780092125146
54,430.4926004343761
55,431.7729379911566
56,362.25019256525127
57,295.4497534812975
58,239.3800841590972
59,214.63252220084212
60,173.97033290791003
61,169.05714179599005
62,129.10698619560657
63,104.90237015527975
64,107.06064841179239
65,73.62301045898268
66,69.69806309738343
67,83.23367420289638
68,65.52612127597251
69,50.8871701577558
70,70.09407160769968
71,92.11287710380054
72,125.51351565727492
73,136.7656787036986
74,152.2461146362141
75,197.705895680681
76,268.21581088196814
77,289.74739307559133
78,310.6710942642167
79,325.49935934002707
80,343.7388106029408
81,345.4936555215774
82,361.6440126611313
83,369.3035606179751
84,369.96186615509583
85,373.6749378433268
86,370.7924047878093
87,369.1393016887205
88,367.3911361992736
89,373.3916054369531
90,369.8277607222565
91,374.38411703293474
92,372.7916110810362
93,377.15331861522844
94,377.76343832186745
95,377.58851039427157
96,379.9514778645193
97,375.8191163956027
98,376.54854047791935
99,373.8802388707219
100,370.2224424954263
101,371.91597915171695
102,367.5189038120702
103,374.70728267048975
104,383.9816639999706
105,396.88334947698513
106,408.24298055457393
107,407.6367649074492
108,412.27922313628414
109,418.26228183164994
110,421.73812116881
111,450.66602858914456
112,472.92921003583007
113,504.8074571278119
114,557.8048728773141
115,584.6161360076121
116,637.7915169695483
117,670.1251770558031
118,702.9835414595426
119,729.5158441644816
120,782.5632857632532
121,828.3517010661053
122,864.4577219866663
123,906.8260805752064
124,953.4672582810952
125,1010.191719329592
126,1048.8497101048708
127,1086.1070864977207
128,1135.088812573788
129,1196.8170510523717
130,1273.055141959966
131,1271.7840553512212
132,1285.875548807584
133,1288.7846351812668
134,1317.209713858009
135,1320.619548282146
136,1328.6462488585864
137,1326.3594736669022
138,1342.0263138907067
139,1345.6490742669987
140,1349.528315306099
141,1370.1111214707757
142,1379.0084230164707
143,1383.2494472040844
144,1384.9878031491514
145,1393.8551839129511
146,1416.8854584423932
147,1426.497152416548
148,1444.3098237071847
149,1451.2950845331213
150,1454.6007119400576
151,1463.0590037863074
152,1474.8914872668004
153,1489.7489751198502
154,1505.86917806514
155,1518.1882715548506
156,1544.4127890060947
157,1551.4879609752406
158,1573.3602936990321
159,1589.6995352271354
160,1589.0345692414123
161,1601.015512495388
162,1622.4651995468578
163,1633.3520815526413
164,1642.2299755947824
165,1658.701800328002
166,1660.0069967984018
167,1665.7186908132562
168,1675.9812449276803
169,1690.7915676681323
170,1705.5162101010596
171,1707.9676701065855
172,1716.7799117719712
173,1739.2354583538556
174,1758.5246360958622
175,1764.9160070231321
176,1768.324661251099
177,1792.1072188090084
178,1814.5361626078763
179,1820.6560221966347
