,B3C3,D1D2,D6D5,G3F3,G4F4
0,0.5000000956901502,0.5000000247948557,0.5000000779068432,0.5000000779068432,0.5000000865066787
1,0.49995169056758576,0.49999937298990765,0.49999089166132865,0.49999089166132865,0.5006785775671426
2,0.4999825816384547,0.4999990431267002,0.500011436927638,0.500011436927638,0.8219912153605996
3,0.5000057165091535,1.1590496511861583,0.5000008792694578,0.5000008792694578,1.151895114681988
4,1.1680884925272013,0.5000042286527527,1.081293712633237,1.081293712633237,0.6609969012247023
5,0.9360208124080729,0.5000253801439494,0.6421405648533314,0.6421405648533314,1.4630512917970986
6,1.4915303615976412,0.5000024476447734,1.1934260873579108,1.1934260873579108,0.500010352718288
7,1.4610206265751597,0.5000065943864033,0.6462096992982549,0.6462096992982549,0.49976358595047804
8,0.49999882956791164,0.499990121909213,0.8251654302249009,0.8251654302249009,0.4999644189296879
9,0.5004290580155176,0.499998538248658,1.1169230719452106,1.1169230719452106,0.500048734201314
10,0.5000024154091192,1.1843273949486683,0.7428040636384997,0.7428040636384997,1.4999997346118419
11,0.5000168182224796,0.8643875518061039,0.4999991853916842,0.4999991853916842,0.5590658376194949
12,0.6365217546107608,1.499999998071027,0.5000503824848768,0.5000503824848768,1.108214790593907
13,0.6933733241872502,1.5000019300113911,0.5000143007072158,0.5000143007072158,1.500003539614025
14,1.5000018897827263,1.5000007425594026,1.0417389198030362,1.0417389198030362,1.500001382261253
15,1.5000005762161805,1.50000022612606,1.5000001508018626,1.5000001508018626,1.5000004213751095
16,1.5000007761254934,1.5000003045768122,1.5000002031202309,1.5000002031202309,1.500000567564709
17,1.5000012854922369,1.5000005044692135,1.5000003364269041,1.5000003364269041,1.500000940054305
18,1.500001700486488,1.5000006673268618,1.5000004450352709,1.5000004450352709,1.500001243531417
19,1.499998748386379,1.499999508826018,1.4999996724395261,1.4999996724395261,1.4999990847203253
20,1.5000023272447458,1.5000009132872418,1.5000006090645384,1.5000006090645384,1.5000017018668457
21,1.5000023388680686,1.5000009178483356,1.5000006121064307,1.5000006121064307,1.5000017103667667
22,1.5000020467748838,1.5000008032210526,1.500000535662575,1.500000535662575,1.5000014967648485
23,1.500002060189255,1.500000808485916,1.5000005391732927,1.5000005391732927,1.5000015065746357
24,1.4999979675080146,1.4999992023838655,1.4999994680753586,1.4999994680753586,1.4999985136801466
25,1.499998267071452,1.4999993199418726,1.499999546474275,1.499999546474275,1.499998732744566
26,1.5000018046517785,1.5000007082047906,1.500000472296525,1.500000472296525,1.5000013197053776
27,1.5000023655853245,1.500000928333118,1.5000006190986483,1.5000006190986483,1.500001729904251
28,1.4999976585891686,1.4999990811536998,1.499999387228007,1.499999387228007,1.4999982877737397
29,1.5000022655976744,1.5000008890946268,1.5000005929309148,1.5000005929309148,1.5000016567852184
30,1.4999975856162568,1.4999990525169957,1.4999993681303934,1.4999993681303934,1.4999982344099887
31,1.4999981805196492,1.4999992859762674,1.4999995238227752,1.4999995238227752,1.4999986694509602
32,1.4999978984073599,1.4999991752661486,1.4999994499910154,1.4999994499910154,1.499998463148325
33,1.5000020924659485,1.50000082115214,1.5000005476205502,1.5000005476205502,1.50000153017797
34,1.4999975797968403,1.4999990502329603,1.4999993666073443,1.4999993666073443,1.499998230154351
35,1.5000023548401975,1.5000009241167032,1.500000616286515,1.500000616286515,1.5000017220467274
36,1.5000023654865275,1.500000928294585,1.5000006190728754,1.5000006190728754,1.5000017298319883
37,1.4999972773784986,1.4999989315542301,1.4999992874610522,1.4999992874610522,1.499998009001899
38,1.5000021942620747,1.5000008611003464,1.5000005742615206,1.5000005742615206,1.5000016046192655
39,1.5000023518012662,1.5000009229238742,1.5000006154911507,1.5000006154911507,1.5000017198245736
40,1.5000032847162954,1.5000012890299381,1.500000859644982,1.500000859644982,1.5000024020462472
41,1.5000026025991438,1.500001021344418,1.5000006811276574,1.5000006811276574,1.5000019032281555
42,1.5000028237485514,1.500001108131352,1.5000007390049015,1.5000007390049015,1.5000020649501349
43,1.5000026799959851,1.5000010517182765,1.5000007013833185,1.5000007013833185,1.5000019598268155
44,1.500003960035303,1.500001554046996,1.5000010363829135,1.5000010363829135,1.5000028958934344
45,1.5000031545017551,1.5000012379301473,1.5000008255665098,1.5000008255665098,1.500002306822911
46,1.4999965850711874,1.4999986598704307,1.4999991062770888,1.4999991062770888,1.4999975027319832
47,1.5000029807001936,1.500001169724204,1.500000780080778,1.500000780080778,1.5000021797261545
48,1.5000031357895112,1.500001230586411,1.5000008206692543,1.5000008206692543,1.500002293139211
49,1.5000032710235551,1.5000012836570749,1.5000008560615172,1.5000008560615172,1.5000023920327004
50,1.5000046568321324,1.5000018274930644,1.5000012187421727,1.5000012187421727,1.5000034054466127
51,1.5000041611703039,1.5000016329793522,1.5000010890222564,1.5000010890222564,1.5000030429796496
52,1.4999950378572318,1.4999980526928796,1.4999987013547393,1.4999987013547393,1.4999963712858886
53,1.5000045709918943,1.5000017938068604,1.500001196276905,1.500001196276905,1.5000033426738497
54,1.500004064748719,1.5000015951406596,1.5000010637876269,1.5000010637876269,1.5000029724682828
55,1.4999955330766548,1.4999982470327184,1.4999988309588521,1.4999988309588521,1.4999967334293336
56,1.5000059025292183,1.5000023163458125,1.5000015447543245,1.5000015447543245,1.5000043164001116
