,Region 0,Region 1,Region 2,Region 3,Region 4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,54.0,0.0,18.94736842105263,15.0
2,18.94736842105263,72.0,18.94736842105263,37.89473684210526,15.0
3,18.94736842105263,36.0,0.0,56.8421052631579,45.0
4,37.89473684210526,0.0,0.0,0.0,60.0
5,37.89473684210526,108.0,18.94736842105263,75.78947368421052,45.0
6,0.0,54.0,56.8421052631579,18.94736842105263,15.0
7,75.78947368421052,108.0,94.73684210526316,18.94736842105263,90.0
8,75.78947368421052,72.0,18.94736842105263,37.89473684210526,75.0
9,75.78947368421052,18.0,18.94736842105263,56.8421052631579,90.0
10,18.94736842105263,90.0,56.8421052631579,113.6842105263158,75.0
11,113.6842105263158,126.0,189.47368421052633,227.3684210526316,75.0
12,189.47368421052633,198.0,170.52631578947367,246.31578947368422,150.0
13,265.2631578947368,144.0,227.3684210526316,75.78947368421052,225.0
14,303.1578947368421,306.0,378.94736842105266,265.2631578947368,285.0
15,265.2631578947368,450.0,284.2105263157895,303.1578947368421,225.0
16,435.7894736842105,414.0,435.7894736842105,378.94736842105266,315.0
17,284.2105263157895,90.0,473.6842105263158,170.52631578947367,570.0
18,208.42105263157896,144.0,227.3684210526316,227.3684210526316,330.0
19,378.94736842105266,594.0,341.05263157894734,492.63157894736844,435.0
20,208.42105263157896,522.0,208.42105263157896,511.57894736842104,375.0
21,360.0,414.0,341.05263157894734,360.0,630.0
22,227.3684210526316,108.0,132.6315789473684,94.73684210526316,465.0
23,341.05263157894734,432.0,341.05263157894734,416.8421052631579,525.0
24,151.57894736842104,270.0,170.52631578947367,378.94736842105266,420.0
25,284.2105263157895,198.0,341.05263157894734,246.31578947368422,405.0
26,170.52631578947367,90.0,303.1578947368421,94.73684210526316,735.0
27,113.6842105263158,18.0,170.52631578947367,75.78947368421052,315.0
28,132.6315789473684,162.0,227.3684210526316,265.2631578947368,540.0
29,75.78947368421052,162.0,113.6842105263158,170.52631578947367,375.0
30,170.52631578947367,54.0,189.47368421052633,170.52631578947367,405.0
31,37.89473684210526,36.0,151.57894736842104,37.89473684210526,195.0
32,56.8421052631579,144.0,113.6842105263158,208.42105263157896,315.0
33,75.78947368421052,126.0,75.78947368421052,113.6842105263158,195.0
34,56.8421052631579,126.0,94.73684210526316,151.57894736842104,315.0
35,113.6842105263158,54.0,113.6842105263158,37.89473684210526,240.0
36,56.8421052631579,72.0,113.6842105263158,94.73684210526316,180.0
37,37.89473684210526,72.0,37.89473684210526,132.6315789473684,195.0
38,37.89473684210526,108.0,113.6842105263158,132.6315789473684,90.0
39,132.6315789473684,144.0,132.6315789473684,37.89473684210526,270.0
40,132.6315789473684,72.0,94.73684210526316,37.89473684210526,195.0
41,151.57894736842104,198.0,151.57894736842104,75.78947368421052,195.0
42,37.89473684210526,126.0,75.78947368421052,75.78947368421052,135.0
43,94.73684210526316,108.0,170.52631578947367,56.8421052631579,270.0
44,132.6315789473684,126.0,113.6842105263158,37.89473684210526,315.0
45,18.94736842105263,54.0,75.78947368421052,18.94736842105263,120.0
46,37.89473684210526,126.0,75.78947368421052,132.6315789473684,330.0
47,37.89473684210526,126.0,56.8421052631579,113.6842105263158,210.0
48,56.8421052631579,90.0,113.6842105263158,94.73684210526316,210.0
49,75.78947368421052,54.0,94.73684210526316,56.8421052631579,180.0
50,94.73684210526316,198.0,94.73684210526316,132.6315789473684,165.0
51,75.78947368421052,108.0,94.73684210526316,113.6842105263158,165.0
52,94.73684210526316,90.0,151.57894736842104,94.73684210526316,240.0
53,113.6842105263158,18.0,75.78947368421052,37.89473684210526,315.0
54,56.8421052631579,36.0,75.78947368421052,18.94736842105263,195.0
55,56.8421052631579,90.0,94.73684210526316,170.52631578947367,375.0
56,113.6842105263158,162.0,170.52631578947367,227.3684210526316,225.0
57,397.89473684210526,270.0,397.89473684210526,397.89473684210526,345.0
58,397.89473684210526,234.0,322.10526315789474,397.89473684210526,225.0
59,795.7894736842105,504.0,454.7368421052632,644.2105263157895,300.0
60,530.5263157894736,576.0,360.0,511.57894736842104,285.0
61,663.1578947368421,774.0,397.89473684210526,663.1578947368421,330.0
62,663.1578947368421,522.0,378.94736842105266,663.1578947368421,585.0
63,587.3684210526316,252.0,397.89473684210526,284.2105263157895,615.0
64,890.5263157894736,738.0,473.6842105263158,795.7894736842105,495.0
65,606.3157894736842,522.0,416.8421052631579,682.1052631578947,405.0
66,757.8947368421053,684.0,625.2631578947369,625.2631578947369,765.0
67,625.2631578947369,342.0,397.89473684210526,246.31578947368422,765.0
68,625.2631578947369,864.0,776.8421052631579,757.8947368421053,690.0
69,397.89473684210526,864.0,568.421052631579,682.1052631578947,555.0
70,682.1052631578947,792.0,568.421052631579,606.3157894736842,540.0
71,492.63157894736844,432.0,454.7368421052632,341.05263157894734,765.0
72,151.57894736842104,144.0,341.05263157894734,170.52631578947367,675.0
73,473.6842105263158,648.0,341.05263157894734,284.2105263157895,570.0
74,189.47368421052633,360.0,246.31578947368422,360.0,375.0
75,208.42105263157896,360.0,416.8421052631579,246.31578947368422,630.0
76,227.3684210526316,54.0,151.57894736842104,189.47368421052633,660.0
77,265.2631578947368,288.0,151.57894736842104,360.0,390.0
78,189.47368421052633,324.0,113.6842105263158,227.3684210526316,255.0
79,284.2105263157895,396.0,94.73684210526316,75.78947368421052,285.0
80,170.52631578947367,18.0,18.94736842105263,18.94736842105263,435.0
81,94.73684210526316,18.0,18.94736842105263,56.8421052631579,150.0
82,227.3684210526316,360.0,151.57894736842104,56.8421052631579,285.0
83,151.57894736842104,198.0,37.89473684210526,75.78947368421052,330.0
84,208.42105263157896,18.0,151.57894736842104,56.8421052631579,435.0
85,75.78947368421052,90.0,170.52631578947367,18.94736842105263,240.0
86,189.47368421052633,126.0,113.6842105263158,94.73684210526316,315.0
87,189.47368421052633,126.0,56.8421052631579,18.94736842105263,90.0
88,151.57894736842104,126.0,56.8421052631579,94.73684210526316,330.0
89,132.6315789473684,54.0,75.78947368421052,18.94736842105263,315.0
90,37.89473684210526,54.0,56.8421052631579,75.78947368421052,330.0
91,113.6842105263158,90.0,18.94736842105263,170.52631578947367,435.0
92,170.52631578947367,72.0,75.78947368421052,75.78947368421052,225.0
93,151.57894736842104,90.0,94.73684210526316,113.6842105263158,495.0
94,94.73684210526316,54.0,94.73684210526316,75.78947368421052,285.0
95,151.57894736842104,126.0,113.6842105263158,113.6842105263158,465.0
96,75.78947368421052,108.0,37.89473684210526,189.47368421052633,375.0
97,189.47368421052633,72.0,113.6842105263158,132.6315789473684,465.0
98,113.6842105263158,90.0,94.73684210526316,113.6842105263158,465.0
99,18.94736842105263,54.0,56.8421052631579,37.89473684210526,435.0
100,37.89473684210526,162.0,94.73684210526316,265.2631578947368,630.0
101,56.8421052631579,126.0,132.6315789473684,227.3684210526316,405.0
102,18.94736842105263,72.0,189.47368421052633,189.47368421052633,540.0
103,37.89473684210526,36.0,189.47368421052633,37.89473684210526,345.0
104,75.78947368421052,126.0,113.6842105263158,189.47368421052633,405.0
105,132.6315789473684,90.0,113.6842105263158,56.8421052631579,345.0
106,170.52631578947367,108.0,113.6842105263158,56.8421052631579,225.0
107,56.8421052631579,72.0,151.57894736842104,75.78947368421052,450.0
108,56.8421052631579,36.0,246.31578947368422,75.78947368421052,255.0
109,170.52631578947367,72.0,94.73684210526316,56.8421052631579,390.0
110,113.6842105263158,36.0,37.89473684210526,56.8421052631579,210.0
111,75.78947368421052,54.0,265.2631578947368,56.8421052631579,555.0
112,18.94736842105263,72.0,75.78947368421052,56.8421052631579,270.0
113,75.78947368421052,144.0,56.8421052631579,132.6315789473684,480.0
114,94.73684210526316,126.0,37.89473684210526,113.6842105263158,390.0
115,75.78947368421052,162.0,94.73684210526316,56.8421052631579,510.0
116,94.73684210526316,54.0,189.47368421052633,37.89473684210526,570.0
117,56.8421052631579,54.0,56.8421052631579,18.94736842105263,315.0
118,56.8421052631579,144.0,56.8421052631579,75.78947368421052,750.0
119,94.73684210526316,90.0,37.89473684210526,18.94736842105263,345.0
120,94.73684210526316,90.0,94.73684210526316,37.89473684210526,570.0
121,18.94736842105263,72.0,18.94736842105263,18.94736842105263,510.0
122,37.89473684210526,108.0,56.8421052631579,94.73684210526316,645.0
123,75.78947368421052,72.0,75.78947368421052,56.8421052631579,540.0
124,56.8421052631579,126.0,132.6315789473684,132.6315789473684,720.0
125,18.94736842105263,36.0,189.47368421052633,37.89473684210526,495.0
126,0.0,18.0,75.78947368421052,0.0,570.0
127,18.94736842105263,72.0,56.8421052631579,113.6842105263158,690.0
128,37.89473684210526,90.0,75.78947368421052,75.78947368421052,480.0
129,56.8421052631579,36.0,94.73684210526316,75.78947368421052,675.0
130,37.89473684210526,54.0,151.57894736842104,18.94736842105263,615.0
131,75.78947368421052,108.0,151.57894736842104,75.78947368421052,615.0
132,75.78947368421052,126.0,94.73684210526316,37.89473684210526,255.0
133,113.6842105263158,72.0,113.6842105263158,113.6842105263158,270.0
134,94.73684210526316,18.0,0.0,18.94736842105263,570.0
135,37.89473684210526,72.0,0.0,75.78947368421052,255.0
136,75.78947368421052,72.0,56.8421052631579,94.73684210526316,330.0
137,18.94736842105263,18.0,37.89473684210526,170.52631578947367,135.0
