,Error
0,594.5998528718841
1,580.5227399539158
2,563.2444088349383
3,554.4641990788922
4,552.6467151565457
5,543.9243339035113
6,542.1196649137104
7,537.9439048036877
8,532.9673405017113
9,520.0517256140745
10,513.1554571850861
11,459.2403409605306
12,404.88609866481147
13,366.41503138137386
14,348.41713874634416
15,301.5799886862706
16,276.03486770737896
17,241.54248383003582
18,204.66492266831386
19,206.62186744381933
20,157.73694006109088
21,157.80564664605984
22,182.894826998354
23,183.9067808557438
24,185.44503930645547
25,220.3978013028573
26,224.28417062743048
27,242.05410387569395
28,271.72957276452956
29,272.39825977093034
30,292.89294132812955
31,317.794973284353
32,333.9465910965122
33,340.5051289910392
34,362.09557588873747
35,364.44444690086647
36,345.7476130242836
37,366.8506554093442
38,360.14516872848225
39,381.2336121326848
40,379.29186202210707
41,379.9233210736589
42,389.9057821743937
43,405.58295250509303
44,410.1885738557211
45,410.1325847030373
46,425.2502719290031
47,409.12347038700636
48,426.49768908175594
49,436.5994872387747
50,429.41531828040684
51,435.59085530229595
52,470.43240683282824
53,462.4290566724364
54,458.25888962231824
55,465.35476578390285
56,388.8101220055537
57,321.3021157586857
58,264.7599789529669
59,236.25595523787558
60,183.96938389614687
61,176.6278768286816
62,140.66580507583714
63,116.90892625132355
64,117.70454019627184
65,80.97900637914391
66,65.87398081889387
67,77.8309916216849
68,63.8413733811081
69,42.839195698659786
70,58.25804423960077
71,69.55186980499053
72,89.58195009987854
73,90.98980571430484
74,73.08810092302718
75,85.53669073284041
76,106.4486424881906
77,106.98922072989346
78,98.4375220559825
79,115.37402674052727
80,177.4903141787569
81,182.60699396287887
82,202.99950238833716
83,223.36709327152593
84,233.86862424949302
85,246.71336210627632
86,230.004430158172
87,225.82056979572346
88,214.922159867908
89,182.56757184083946
90,162.40636411805508
91,175.15998950085432
92,167.59627892868937
93,192.5790329601174
94,173.5158029733778
95,165.18260236049724
96,172.0005408959846
97,181.51758681030535
98,186.9849525108165
99,190.78638722153846
100,206.46048560097333
101,227.91124889343757
102,228.7114123919304
103,229.72095009315223
104,236.8296321089693
105,252.62859027419677
106,275.3196477124665
107,277.77446162019635
108,283.2143913987916
109,319.1417972793912
110,302.94091135668384
111,321.1639701036685
112,324.9622327154278
113,317.611318506341
114,317.3636676887872
115,332.3989241180909
116,355.6855582131154
117,382.6199220117561
118,387.56255239392414
119,421.4530587451365
120,438.3751952820005
121,446.1347602582147
122,448.1357860482433
123,445.53094112868774
124,455.35278096064025
125,461.35957984212337
126,456.2440074156265
127,443.99406582576586
128,450.4159484463921
129,471.7740762157382
130,472.95080358697635
131,488.6568397213474
132,476.9074515276503
133,480.6124735387804
134,465.80758524272534
135,468.560624135606
136,495.4649536415697
137,478.8649603680706
138,501.714360028763
139,498.5566827908702
140,496.85533785944625
141,482.7277318839837
142,481.4810390868233
143,471.07232794433463
144,473.2698189999265
145,478.0335763909567
146,477.23465385102986
147,471.74739190638576
148,478.5439791754733
149,473.530792776195
150,472.11201509921926
151,475.7925154295343
152,474.89462492924923
153,481.8371345170869
154,487.3816506880795
155,480.6391190235336
156,503.08305451987604
157,508.6362705641851
158,510.94196691120044
159,504.46582223948127
160,501.89121442310613
161,508.2595633808935
162,528.2173360745774
163,522.1928825193254
164,515.5086035426456
165,526.9666023325223
166,526.7498157674654
167,533.6171778154402
168,534.1806927067686
169,538.6267151254037
170,539.2394245677507
171,537.3063580981841
172,541.6214222852838
173,538.3316747952061
174,541.9143395540128
175,542.0065623816614
176,539.2522626072612
177,527.4400195112459
178,536.4972646900817
179,537.6804950978878
