,Speed limit factor for road 0,Speed limit factor for road 1,Speed limit factor for road 2,Speed limit factor for road 3,Speed limit factor for road 4,Cars Spawning in Region 0,Cars Spawning in Region 1,Cars Spawning in Region 2,Cars Spawning in Region 3,Cars Spawning in Region 4,Density in Region 0,Density in Region 1,Density in Region 2,Density in Region 3,Density in Region 4
0,1.4622042481427422,1.4285119502697472,1.3535872578526753,1.4430326541730798,1.5,6.0,5.0,0.0,0.0,3.0,0.0,0.1346982758620689,0.0,0.0,0.0
1,1.4622042481427422,1.4285119502697472,1.3535872578526753,1.4430326541730798,1.5,6.0,5.0,0.0,0.0,3.0,0.8447433511758444,0.5387931034482759,0.0,0.0,0.3367456896551724
2,1.4622042481427422,1.4285119502697472,1.3535872578526753,1.4430326541730798,1.5,6.0,5.0,0.0,0.0,3.0,0.7089382940108893,1.212284482758621,0.5641593343901,0.277592715967133,0.2244971264367816
3,1.4622042481427422,1.4285119502697472,1.3535872578526753,1.4430326541730798,1.5,6.0,5.0,0.0,0.0,3.0,0.7089382940108893,2.017632402153354,0.8477346519944559,0.277592715967133,0.561242816091954
4,1.4622042481427422,1.4285119502697472,1.3535872578526753,1.4430326541730798,1.5,6.0,5.0,0.0,0.0,3.0,0.8507259528130673,2.41888549396188,0.8477346519944559,0.277592715967133,0.6734913793103449
5,1.371111797773828,1.5,1.4144395376924468,1.5,1.492921424114762,2.0,0.0,2.0,0.0,0.0,0.4253629764065336,2.289870689655173,0.7089382940108893,0.2835753176043557,1.0102370689655171
6,1.371111797773828,1.5,1.4144395376924468,1.5,1.492921424114762,2.0,0.0,2.0,0.0,0.0,0.9865310099780225,2.289870689655173,0.8507259528130673,0.4253629764065336,1.0102370689655176
7,1.371111797773828,1.5,1.4144395376924468,1.5,1.492921424114762,2.0,0.0,2.0,0.0,0.0,1.8432395644283124,2.155172413793104,1.1313099695988118,0.7059469931922779,1.3469827586206895
8,1.371111797773828,1.5,1.4144395376924468,1.5,1.492921424114762,2.0,0.0,2.0,0.0,0.0,2.126814882032668,1.2122844827586208,1.553681645186734,0.5641593343901,2.020474137931035
9,1.371111797773828,1.5,1.4144395376924468,1.5,1.492921424114762,2.0,0.0,2.0,0.0,0.0,3.4029038112522696,1.2122844827586208,1.553681645186734,0.4223716755879222,2.357219827586208
10,1.5,1.5,1.4951521037712363,1.5,1.4942459904065588,4.0,0.0,5.0,0.0,0.0,3.828266787658804,1.6135375745671472,0.5641593343901001,0.5671506352087115,2.469468390804598
11,1.5,1.5,1.4951521037712363,1.5,1.4942459904065588,4.0,0.0,5.0,0.0,0.0,3.544691470054448,2.0204741379310347,1.411893986384556,0.7089382940108893,2.8062140804597706
12,1.5,1.5,1.4951521037712363,1.5,1.4942459904065588,4.0,0.0,5.0,0.0,0.0,3.970054446460981,1.748235850429216,1.2730976284009896,1.134301270417423,3.3674568965517246
13,1.5,1.5,1.4951521037712363,1.5,1.4942459904065588,4.0,0.0,5.0,0.0,0.0,4.392426122048903,2.287028953877492,1.4148852872031676,1.276088929219601,3.701834473058831
14,1.5,1.5,1.4951521037712363,1.5,1.4942459904065588,4.0,0.0,5.0,0.0,0.0,3.964071844823758,2.55642550560163,2.2686025408348462,1.559664246823957,4.0314758232698
15,1.392886223756118,1.5,1.5,1.5,1.4437887737495634,2.0,0.0,1.0,1.0,2.0,5.101364416059792,3.095218609049906,1.559664246823957,1.9850272232304904,3.699466359910762
16,1.392886223756118,1.5,1.5,1.5,1.4437887737495634,2.0,0.0,1.0,1.0,2.0,4.3954174228675145,2.69396551724138,1.5596642468239568,1.9850272232304904,4.038580162714003
17,1.392886223756118,1.5,1.5,1.5,1.4437887737495634,2.0,0.0,1.0,1.0,2.0,5.104355716878405,1.4816810344827591,1.4178765880217787,1.8402482636097013,4.712071542024348
18,1.392886223756118,1.5,1.5,1.5,1.4437887737495634,2.0,0.0,1.0,1.0,2.0,5.246143375680582,1.616379310344828,1.4178765880217787,1.7014519056261346,4.485206302439498
19,1.392886223756118,1.5,1.5,1.5,1.4437887737495634,2.0,0.0,1.0,1.0,2.0,4.250638463246726,1.3469827586206895,0.992513611615245,1.5566729460053452,4.602191091954023
20,1.5,1.3397286672150222,1.3654457470373949,1.5,1.5,0.0,0.0,6.0,1.0,0.0,3.2551335508128685,1.8829341262912849,1.1313099695988118,1.8402482636097008,6.173670977011494
21,1.5,1.3397286672150222,1.3654457470373949,1.5,1.5,0.0,0.0,6.0,1.0,0.0,3.261116152450092,1.4788392987050782,1.6924780031703004,1.2730976284009894,6.622665229885057
22,1.5,1.3397286672150222,1.3654457470373949,1.5,1.5,0.0,0.0,6.0,1.0,0.0,3.5446914700544467,1.7425523788738544,1.4148852872031676,1.1313099695988116,6.1736709770114935
23,1.5,1.3397286672150222,1.3654457470373949,1.5,1.5,0.0,0.0,6.0,1.0,0.0,2.977540834845736,1.4816810344827591,1.2730976284009896,1.1343012704174231,5.949173850574712
24,1.5,1.3397286672150222,1.3654457470373949,1.5,1.5,0.0,0.0,6.0,1.0,0.0,1.6954693039889122,1.6135375745671472,0.7089382940108893,1.5596642468239563,6.173670977011494
