,Error
0,599.4584483900533
1,585.0896438397031
2,567.0801217867785
3,559.0839956663941
4,559.9341726185176
5,548.6103932029122
6,548.2364422576816
7,543.3327841410585
8,539.9890601920557
9,532.0426178863361
10,525.737460395788
11,467.35410439561747
12,420.0087831844338
13,384.0269310947572
14,357.75673407912774
15,304.0887536772386
16,276.6307006290513
17,254.1622429957226
18,210.90975458596276
19,221.97779256888833
20,171.05055815922822
21,192.79286422216126
22,212.72258384946394
23,225.23270791398102
24,225.04308045466124
25,261.3557276051856
26,281.43003497462206
27,285.79321149061025
28,326.90360205973775
29,342.0956626820108
30,359.43093039664046
31,379.20787117804093
32,384.7197255672502
33,378.80157665125444
34,397.5467717281619
35,402.23813554061076
36,385.1224690833182
37,421.7001221227418
38,406.8711499709337
39,429.0850616802511
40,432.74930086448506
41,437.45848821344214
42,454.34292009168047
43,470.7386183419947
44,449.3146602165796
45,445.2899796023238
46,466.21994534489886
47,461.24798569504276
48,475.66644816978265
49,480.84364596437854
50,475.4736331830391
51,482.014344627934
52,504.34550219330544
53,502.60345460488224
54,489.91075011085456
55,483.53092054039985
56,414.8370738849858
57,336.77422621362507
58,265.0379197463595
59,244.32232021939564
60,191.41340132682126
61,178.07739237545977
62,135.237766808148
63,118.35227193860713
64,123.84938822422164
65,83.08700504845106
66,82.51821252888806
67,109.30081199465857
68,93.42342395392626
69,77.7364411776681
70,92.55510970720364
71,145.40621145978463
72,183.21496362361535
73,224.46508737600817
74,238.03336442317558
75,293.36679281852486
76,336.154417776297
77,347.68790729031116
78,348.57500518879436
79,326.7464600795029
80,317.6342980443452
81,298.73369601468283
82,323.13633770989446
83,333.7840688292627
84,355.1885480924845
85,371.7438212283383
86,361.0072069022378
87,358.80052384151924
88,370.85719089727655
89,340.32546187585257
90,327.35924930808005
91,330.4141791272073
92,333.8566033076266
93,330.0434327199755
94,300.05693083594036
95,291.18855243420603
96,247.86443208940295
97,241.0073255186763
98,214.1842201666908
99,204.10881887017635
100,187.3753941222906
101,178.05137608994258
102,195.6653919163571
103,165.0364466914522
104,179.68590060557455
105,181.54712680874715
106,187.38551224028126
107,199.31012534488718
108,204.82610564111164
109,240.51316227215716
110,254.3646221731029
111,271.47320704824796
112,281.8176600087022
113,289.4606952417711
114,328.548891466885
115,343.4185302890614
116,354.20396401029234
117,347.441906549203
118,361.21825024169283
119,372.20141039802104
120,398.1452094365082
121,422.25702856692664
122,411.0501366867884
123,437.7859827235045
124,453.3733894820074
125,488.0171769998278
126,507.68744897093893
127,522.7227433062245
128,537.1450593511177
129,559.8904673583742
130,603.5286390032422
131,582.7034017282584
132,576.0584298553498
133,569.6602475785394
134,564.7479305328185
135,535.4628130556018
136,515.8843063723515
137,485.8667133727731
138,469.4039128190871
139,464.06717366673365
140,475.31536618171367
141,482.96217567639906
142,475.4473445677398
143,481.9386394495625
144,481.5051548712575
145,488.60807297938
146,486.4253467426208
147,489.8688435950058
148,493.14373619898544
149,493.0843846649501
150,491.7882271439552
151,489.6454679891687
152,502.637683467967
153,497.9051565536499
154,503.5449091305141
155,496.0117684464569
156,525.7127430900518
157,524.1130589932959
158,525.0090368222944
159,521.8951430146594
160,529.1879538562946
161,548.6638870636066
162,551.7735508402999
163,545.6589143425966
164,543.4613258594288
165,549.8988279918216
166,548.0720316674812
167,546.2978024222343
168,544.2015150055746
169,545.9466896420437
170,544.9151370115279
171,543.1129444313982
172,547.6596935735207
173,543.9898703066461
174,553.1664476296455
175,553.2818462343834
176,551.0158138881263
177,541.9988267518336
178,553.0260222844788
179,554.5679540599498
