,B3C3,D1D2,D6D5,G3F3,G4F4
0,1.5000000344952045,1.5000000135367324,1.5000000108638918,1.5000000108638918,1.5000000252254468
1,1.5000000005365481,1.5000000001699059,1.5000000001329687,1.5000000001329687,1.5000000003331544
2,1.5000000002252327,1.5000000001579368,1.500000000183468,1.500000000183468,1.5000000003043645
3,1.4999999999867204,1.5000000000017575,1.5000000000310392,1.5000000000310392,1.4999999999905618
4,1.4999999999656684,1.5000000000023015,1.5000000000668527,1.5000000000668527,1.5000000000156708
5,1.500000000048854,1.5000000001330116,1.4999999999583915,1.4999999999583915,1.5000000002710376
6,1.4999999999985443,1.4999999999963438,1.5000000000000093,1.5000000000000093,1.5000000000035323
7,1.5000000001205236,1.5000000002155378,1.5000000001379437,1.5000000001379437,1.500000000299773
8,1.4999999999985114,1.5000000000000662,1.4999999999994083,1.4999999999994083,1.4999999999971863
9,1.5000000002598881,1.5000000001030633,1.5000000000516998,1.5000000000516998,1.499999999990419
10,1.5000000000031593,1.4999999999877256,1.500000000000545,1.500000000000545,1.499999999995336
11,1.5000000000972538,1.5000000003219398,1.499999999819721,1.499999999819721,1.500000001806617
12,1.5000000032292957,1.5000000006623349,1.5000000007275822,1.5000000007275822,1.5000000002306662
13,1.5000000021864135,1.5000000002595417,1.5000000011878094,1.5000000011878094,1.4999999996931432
14,1.5000000000892468,1.500000000301411,1.5000000000034432,1.5000000000034432,1.5000000006231016
15,1.49999999985653,1.5000000010111503,1.5000000005707335,1.5000000005707335,1.5000000026172169
16,1.5000000029640952,1.500000000951455,1.5000000009412542,1.5000000009412542,1.5000000007094039
17,1.5000000018659119,1.499999999753854,1.5000000004176925,1.5000000004176925,1.499999999681346
18,1.5000000024391698,1.5000000012752919,1.5000000000647913,1.5000000000647913,1.4999999996863984
19,1.4999999999939,1.4999999999713882,1.500000000005677,1.500000000005677,1.4999999999702796
20,1.5000000000235216,1.4999999999948779,1.5000000000085782,1.5000000000085782,1.500000000000096
21,1.4999999999863893,1.5000000000193192,1.4999999999881457,1.4999999999881457,1.5000000000041693
22,1.4999999999838132,1.4999999999972924,1.499999999988261,1.499999999988261,1.4999999999920135
23,1.4999999999959077,1.4999999999828617,1.5000000000002838,1.5000000000002838,1.5000000000027427
24,1.500000000001379,1.4999999999782523,1.4999999999953806,1.4999999999953806,1.4999999999900873
25,1.4999999999869837,1.4999999999956541,1.4999999999930205,1.4999999999930205,1.4999999999944582
26,1.4999999999796823,1.4999999999990252,1.499999999992858,1.499999999992858,1.499999999992748
27,1.4999999999951592,1.4999999999954134,1.4999999999983606,1.4999999999983606,1.4999999999976983
28,1.4999999999901459,1.4999999999818032,1.4999999999932365,1.4999999999932365,1.4999999999828768
29,1.4999999999963984,1.4999999999988733,1.5000000000012825,1.5000000000012825,1.4999999999801992
30,1.4999999999924913,1.4999999999953548,1.4999999999958196,1.4999999999958196,1.4999999999979252
31,1.4999999999947236,1.499999999993069,1.5000000000010862,1.5000000000010862,1.4999999999938758
32,1.5000000000015017,1.499999999982324,1.499999999999472,1.499999999999472,1.4999999999926426
33,1.5000000000014864,1.5000000000077356,1.4999999999995874,1.4999999999995874,1.5000000000034965
34,1.4999999999924951,1.4999999999917821,1.4999999999979794,1.4999999999979794,1.4999999999955258
35,1.4999999999979179,1.5000000000103524,1.4999999999968079,1.4999999999968079,1.5000000000036984
36,1.5000000000080418,1.4999999999967626,1.5000000000025455,1.5000000000025455,1.5000000000033613
37,1.4999999999899,1.4999999999952265,1.500000000000265,1.500000000000265,1.4999999999878728
38,1.5000000000064668,1.4999999999996811,1.5000000000023221,1.5000000000023221,1.5000000000049667
39,1.499999999986171,1.5000000000049494,1.4999999999985976,1.4999999999985976,1.49999999999528
40,1.500000000000988,1.5000000000147782,1.4999999999984919,1.4999999999984919,1.5000000000043459
41,1.4999999999994211,1.5000000000005964,1.5000000000002647,1.5000000000002647,1.5000000000012372
42,1.4999999999997042,1.4999999999921494,1.5000000000001075,1.5000000000001075,1.499999999997156
43,1.4999999999975462,1.4999999999962694,1.4999999999975493,1.4999999999975493,1.5000000000014173
44,1.500000000000874,1.4999999999996971,1.5000000000006912,1.5000000000006912,1.4999999999983928
45,1.499999999999652,1.500000000003264,1.499999999998871,1.499999999998871,1.5000000000019886
46,1.4999999999961433,1.4999999999767577,1.4999999999957732,1.4999999999957732,1.4999999999852547
47,1.5000000000015992,1.5000000000038005,1.5000000000025713,1.5000000000025713,1.5000000000018936
48,1.499999999992255,1.4999999999972553,1.4999999999934597,1.4999999999934597,1.499999999999365
49,1.4999999999958522,1.5000000000144174,1.500000000001151,1.500000000001151,1.4999999999989382
50,1.5000000000042575,1.499999999996077,1.5000000000017917,1.5000000000017917,1.4999999999980105
51,1.5000000000025269,1.5000000000075318,1.4999999999993452,1.4999999999993452,1.5000000000047893
52,1.499999999994531,1.4999999999913491,1.499999999995068,1.499999999995068,1.4999999999980744
53,1.4999999999985576,1.5000000000138551,1.4999999999972302,1.4999999999972302,1.4999999999993139
54,1.5000000000015505,1.5000000000000422,1.5000000000007794,1.5000000000007794,1.500000000005599
55,1.4999999999985802,1.499999999978494,1.499999999999111,1.499999999999111,1.4999999999896625
56,1.500000000015184,1.5000000000114768,1.5000000000087752,1.5000000000087752,1.5000000000179035
57,1.5000000000138884,1.5000000000566491,1.5000000000044555,1.5000000000044555,1.500000000026676
58,1.5000000000214593,1.500000000033387,1.5000000000099125,1.5000000000099125,1.5000000000150484
59,1.5000000035137777,1.5000000003168925,1.4999999996035667,1.4999999996035667,1.5000000030064653
60,1.5000000074430315,1.4999999995515785,1.5000000021505457,1.5000000021505457,1.500000000564286
61,1.500000001370247,1.500000000435376,1.4999999999289542,1.4999999999289542,1.5000000017870654
62,1.5000000035289824,1.4999999991019335,1.5000000019499384,1.5000000019499384,1.5000000035246757
63,1.500000007824581,1.4999999992127897,1.5000000002913287,1.5000000002913287,1.5000000015897537
64,1.5000000000580722,1.5000000001070837,1.5000000000064748,1.5000000000064748,1.500000000139761
65,1.5000000043420063,1.5000000012162473,1.499999999536314,1.499999999536314,1.500000000729351
66,1.5000000064403805,1.4999999994484468,1.499999999729772,1.499999999729772,1.4999999992705777
67,1.5000000073011255,1.5000000018873734,1.5000000010822776,1.5000000010822776,1.5000000008414887
68,1.5000000007234027,1.5000000002257323,1.5000000001359717,1.5000000001359717,1.5000000012262873
69,1.5000000052812412,1.5000000007303576,1.5000000001108098,1.5000000001108098,1.4999999998287543
70,1.5000000008471146,1.4999999999245233,1.5000000009161094,1.5000000009161094,1.5000000030309737
71,1.5000000015836092,1.4999999999303102,1.5000000000089062,1.5000000000089062,1.499999999664866
72,1.5000000003673943,1.5000000007488836,1.5000000000781228,1.5000000000781228,1.5000000000697216
73,1.4999999999916807,1.5000000000058231,1.4999999999979505,1.4999999999979505,1.4999999999946403
74,1.4999999998463858,1.4999999999284075,1.5000000000003766,1.5000000000003766,1.5000000003221743
75,1.499999999998121,1.499999999995587,1.4999999999999356,1.4999999999999356,1.5000000000038183
76,1.4999999998768514,1.500000000049847,1.5000000000514464,1.5000000000514464,1.500000000254528
77,1.500000000616663,1.5000000000927136,1.5000000001465856,1.5000000001465856,1.500000000068626
78,1.5000000011789583,1.5000000002007279,1.5000000000894465,1.5000000000894465,1.4999999998685056
79,1.5000000006343204,1.5000000000380769,1.4999999999735496,1.4999999999735496,1.4999999999992424
80,1.5000000001538558,1.500000000028584,1.5000000000635914,1.5000000000635914,1.5000000001751235
81,1.5000000001358194,1.5000000000232085,1.5000000000045275,1.5000000000045275,1.4999999999791445
82,1.500000000715468,1.5000000001538507,1.4999999999636935,1.4999999999636935,1.499999999974469
83,1.5000000000355542,1.5000000000262381,1.5000000000549343,1.5000000000549343,1.5000000000770926
84,1.5000000004367056,1.5000000002661726,1.5000000001968687,1.5000000001968687,1.4999999998554372
85,1.5000000003018688,1.5000000000344769,1.5000000000221902,1.5000000000221902,1.5000000002724065
86,1.5000000010613936,1.5000000003114373,1.5000000000888607,1.5000000000888607,1.5000000000068447
87,1.500000000458805,1.5000000001117173,1.5000000001277791,1.5000000001277791,1.5000000004595582
88,1.4999999999867313,1.500000000064942,1.5000000000487317,1.5000000000487317,1.5000000001262779
89,1.500000000667229,1.5000000000928504,1.5000000003325928,1.5000000003325928,1.4999999999559441
90,1.5000000004348089,1.5000000000163691,1.5000000000581601,1.5000000000581601,1.5000000001283849
91,1.5000000002813052,1.500000000036305,1.5000000000578013,1.5000000000578013,1.500000000325323
92,1.5000000002018292,1.5000000000604161,1.5000000000634657,1.5000000000634657,1.5000000001427611
93,1.500000000108609,1.4999999999931093,1.4999999999909754,1.4999999999909754,1.500000000292672
94,1.5000000005427592,1.5000000000692126,1.5000000000315277,1.5000000000315277,1.500000000357988
