,Error
0,594.5998528718841
1,580.5227359315704
2,563.244411432978
3,554.4641952665543
4,552.6467180202364
5,543.9243289127191
6,542.1196646434154
7,537.9439075837462
8,532.9673347971325
9,520.0517196995016
10,513.1554522873836
11,459.24033859159897
12,404.88609655933317
13,366.4150301049051
14,348.4171377047789
15,301.59285757657057
16,276.04393127696824
17,241.54478981530633
18,204.65975481327933
19,206.62402887899725
20,157.71259276978532
21,157.80097571403226
22,184.36379622550643
23,186.94919744392595
24,185.151868420805
25,223.37901076758018
26,231.45304216505104
27,243.0647009093297
28,270.62658491445177
29,276.65888353560064
30,293.9679192756786
31,319.8361273743991
32,337.417513398656
33,339.7568195732753
34,365.80114342356705
35,369.67240467081876
36,348.6710243357941
37,375.50524835001886
38,361.06653565654193
39,390.0638128582471
40,392.98655655428377
41,393.90401772546176
42,403.5513828402152
43,412.6977268700146
44,408.9835691513946
45,402.62807602408293
46,407.9852926518584
47,395.04880815266756
48,408.779641980382
49,412.10681736133694
50,409.6012661177326
51,405.2867433705031
52,427.2752634357544
53,431.7800924758849
54,430.4926017534963
55,431.7729366376478
56,362.2501927207447
57,295.448029808384
58,239.37938979176212
59,214.6347037150437
60,173.99244466266205
61,169.08357219491236
62,129.14838902593624
63,104.95574526373345
64,106.59174768131423
65,73.48721693194531
66,71.2855873563831
67,87.08497841015783
68,67.22361392646563
69,51.55517286788772
70,63.95220432298655
71,83.97343690381922
72,116.23095346497773
73,127.05500212172984
74,118.24670157505018
75,149.23380615841054
76,213.68410039075434
77,237.89911181350737
78,235.57186418327115
79,249.46168299011856
80,248.27442826444633
81,262.80742596899523
82,275.8721799486395
83,288.77838421192865
84,274.14822630460543
85,260.0638180816747
86,246.12876925680726
87,235.4669351301498
88,228.90590277722134
89,203.7599543934612
90,199.34226810063788
91,184.63460970700606
92,172.6363318524582
93,163.07037180359103
94,153.17130936611662
95,155.40223900590166
96,155.4174473567029
97,177.4502969226775
98,174.48559918394307
99,197.05490152515682
100,199.56719446226006
101,208.09133636782707
102,204.58740720080974
103,211.84756684001968
104,213.81079638649518
105,229.08500894475776
106,242.29464689956254
107,244.3417637326747
108,229.3136120622038
109,248.7797142012823
110,248.80321619411959
111,252.80957455036526
112,272.8893709708713
113,290.80117577232653
114,293.565975625117
115,300.17449174486086
116,296.1352072007707
117,317.6018915093989
118,323.94553397230436
119,339.10539071678477
120,351.6824544001095
121,357.6939222783895
122,347.91386479381714
123,343.38678763086983
124,358.22418363685745
125,377.7723836449085
126,382.27550574626673
127,368.1603659441753
128,369.09138231455984
129,385.1150506178953
130,381.4905155616184
131,395.46476116858076
132,382.2234465949558
133,384.2646119926206
134,390.8152169419923
135,379.57390594156783
136,371.9593530278927
137,356.11420681119887
138,344.3679026381009
139,353.00371529235576
140,360.5283959277844
141,350.48956289572936
142,344.34434827343506
143,333.83417798976365
144,333.87248236918134
145,338.95765035845693
146,338.19058437319654
147,318.0168919337439
148,310.74349868567424
149,293.9521948891273
150,294.4973487550457
151,292.0901105578323
152,275.5641370786182
153,274.52321012494457
154,297.12806359565917
155,291.70845646294055
156,307.036625690489
157,301.26593961673655
158,286.7868080627206
159,275.13778964896716
160,266.68858102456204
161,262.67515228848805
162,273.5951451360836
163,288.8629039978393
164,304.08420184806556
165,324.2881873747802
166,325.9635042059104
167,318.787108218331
168,322.26154067860097
169,317.79251983723424
170,300.53514144659226
171,292.456054936512
172,324.00631113660654
173,319.1193939720324
174,323.1509711340575
175,327.5028576722366
176,335.43640693941603
177,319.8411666997046
178,329.65754761055524
179,328.5612776662113
