,B3C3,D1D2,D6D5,G3F3,G4F4
0,1.50000003639996,1.5000000142849754,1.4999999738692882,1.4999999738692882,1.5000000266190001
1,1.500000036934828,1.5000000144948822,1.5000000036362122,1.5000000036362122,1.5000000270101457
2,1.5000000983510005,1.5000000385974266,1.500000009682693,1.500000009682693,1.5000000719232984
3,1.5000000663062398,1.5000000260215973,1.5000000065278727,1.5000000065278727,1.5000000484892204
4,1.5000000670166111,1.500000013154547,1.5000000065978052,1.5000000065978052,1.5000000490087277
5,1.5000001247763615,1.500000024495761,1.5000000122842674,1.5000000122842674,1.5000000912479556
6,1.4999999619574622,1.4999999850597026,1.4999999925135525,1.4999999925135525,1.4999999721945008
7,1.500000064300944,1.5000000126233868,1.5000000063305072,1.5000000063305072,1.5000000470227657
8,1.5000000000000009,1.4999999999999996,1.5,1.5,1.5000000000000016
9,1.5000000000003824,1.500000000000929,1.4999999999997975,1.4999999999997975,1.5000000000005302
10,1.500000000000861,1.4999999999963602,1.5000000000001734,1.5000000000001734,1.49999999999864
11,1.5000000000035567,1.5000000000061275,1.5000000000016631,1.5000000000016631,1.5000000000042752
12,1.5000000000020948,1.500000000002867,1.5000000000008538,1.5000000000008538,1.5000000000024842
13,1.4999999999996714,1.5000000000074518,1.5000000000008018,1.5000000000008018,1.5000000000037477
14,1.5000000000012976,1.50000000000155,1.5000000000007476,1.5000000000007476,1.5000000000011302
15,1.5000000000027907,1.500000000000065,1.5000000000021738,1.5000000000021738,1.5000000000012979
16,1.5000000000013394,1.5000000000047378,1.5000000000005398,1.5000000000005398,1.50000000000189
17,1.4999999999997917,1.5000000000034475,1.499999999997676,1.499999999997676,1.5000000000048312
18,1.5000000000032565,1.5000000000037732,1.5000000000015121,1.5000000000015121,1.5000000000044782
19,1.4999999999991296,1.499999999990547,1.500000000001564,1.500000000001564,1.4999999999914855
20,1.5000000000053204,1.4999999999993134,1.5000000000023193,1.5000000000023193,1.4999999999996787
21,1.4999999999964932,1.5000000000058313,1.499999999997178,1.499999999997178,1.5000000000014122
22,1.4999999999960907,1.4999999999992837,1.4999999999964202,1.4999999999964202,1.4999999999984428
23,1.49999999999812,1.4999999999957934,1.499999999999963,1.499999999999963,1.500000000000006
24,1.4999999999999445,1.499999999991592,1.4999999999990372,1.4999999999990372,1.4999999999971476
25,1.4999999999970162,1.499999999999771,1.499999999998078,1.499999999998078,1.4999999999985738
26,1.499999999994242,1.4999999999997355,1.4999999999977218,1.4999999999977218,1.499999999997915
27,1.499999999998476,1.4999999999986011,1.4999999999994733,1.4999999999994733,1.499999999999242
28,1.4999999999975302,1.4999999999947153,1.4999999999982712,1.4999999999982712,1.4999999999952913
29,1.4999999999988431,1.499999999999765,1.500000000000604,1.500000000000604,1.4999999999950564
30,1.4999999999993054,1.4999999999990183,1.4999999999993632,1.4999999999993632,1.499999999999599
31,1.4999999999992721,1.4999999999982245,1.5000000000007803,1.5000000000007803,1.4999999999987743
32,1.5000000000012716,1.4999999999960907,1.5000000000003153,1.5000000000003153,1.4999999999990439
33,1.500000000000998,1.500000000002506,1.5000000000001164,1.5000000000001164,1.5000000000025198
34,1.4999999999988203,1.4999999999977718,1.4999999999997442,1.4999999999997442,1.4999999999985476
35,1.5000000000007072,1.5000000000035767,1.500000000000025,1.500000000000025,1.5000000000020157
36,1.5000000000023872,1.4999999999981082,1.5000000000005305,1.5000000000005305,1.5000000000016134
37,1.499999999997276,1.4999999999987932,1.5000000000002363,1.5000000000002363,1.4999999999963611
38,1.5000000000024407,1.5000000000001588,1.5000000000010023,1.5000000000010023,1.500000000001891
39,1.4999999999973037,1.5000000000017675,1.5000000000003204,1.5000000000003204,1.499999999999217
40,1.500000000000631,1.50000000000452,1.4999999999997533,1.4999999999997533,1.500000000000418
41,1.5000000000001754,1.5000000000004812,1.500000000000527,1.500000000000527,1.5000000000009117
42,1.5000000000017097,1.499999999999382,1.5000000000010387,1.5000000000010387,1.5000000000004978
43,1.5000000000001914,1.4999999999992437,1.499999999999481,1.499999999999481,1.5000000000015934
44,1.5000000000005276,1.5000000000000409,1.50000000000065,1.50000000000065,1.499999999999763
45,1.5000000000000955,1.5000000000010538,1.5000000000000355,1.5000000000000355,1.5000000000007154
46,1.5000000000005982,1.4999999999938045,1.5000000000000715,1.5000000000000715,1.49999999999701
47,1.5000000000008666,1.5000000000013054,1.5000000000007399,1.5000000000007399,1.500000000000313
48,1.499999999998527,1.499999999999466,1.4999999999984674,1.4999999999984674,1.500000000000881
49,1.4999999999994778,1.5000000000045348,1.5000000000007272,1.5000000000007272,1.4999999999996338
50,1.5000000000017164,1.499999999999058,1.5000000000008282,1.5000000000008282,1.4999999999998128
51,1.5000000000015077,1.50000000000156,1.5000000000002394,1.5000000000002394,1.5000000000019686
52,1.499999999999004,1.4999999999976525,1.4999999999988798,1.4999999999988798,1.499999999999842
53,1.5000000000000493,1.5000000000042881,1.4999999999991567,1.4999999999991567,1.5000000000001499
54,1.5000000000007687,1.5000000000001503,1.5000000000004023,1.5000000000004023,1.5000000000018583
55,1.4999999999996476,1.4999999999936815,1.4999999999999267,1.4999999999999267,1.499999999995445
56,1.5000000000037856,1.5000000000054203,1.5000000000024696,1.5000000000024696,1.5000000000045683
57,1.5000000000062113,1.5000000000150608,1.5000000000017013,1.5000000000017013,1.5000000000081881
58,1.500000000005929,1.5000000000104066,1.5000000000025608,1.5000000000025608,1.5000000000052047
59,1.500000000003229,1.5000000000093014,1.5000000000016667,1.5000000000016667,1.5000000000007114
60,1.500000000003247,1.5000000000054265,1.5000000000035112,1.5000000000035112,1.5000000000030822
61,1.5000000000005964,1.5000000000010072,1.5000000000013523,1.5000000000013523,1.499999999999909
62,1.5000000000045164,1.5000000000131202,1.4999999999985807,1.4999999999985807,1.5000000000045925
63,1.499999999999266,1.5000000000123233,1.5000000000001001,1.5000000000001001,1.5000000000042593
64,1.4999999999974287,1.4999999999934577,1.4999999999994449,1.4999999999994449,1.4999999999974216
65,1.5000000000038014,1.4999999999971232,1.5000000000031841,1.5000000000031841,1.500000000003272
