,Error
0,594.5998528718841
1,580.5227389001243
2,563.244419856264
3,554.4641982348843
4,552.6467157368645
5,543.9243329220104
6,542.1196648763962
7,537.9439054495691
8,532.9673392283819
9,520.0517242851013
10,513.1554562070302
11,459.2403402191051
12,404.8860980061922
13,366.41503100951576
14,348.41713843685517
15,301.5815261481642
16,276.0359782920742
17,241.5428133870871
18,204.66461236055886
19,206.62216910312992
20,157.73505578986615
21,157.8054383926676
22,182.89495283130591
23,183.9068916284345
24,185.44503890722058
25,220.39780268553187
26,224.28417236569845
27,242.05410466668533
28,271.72957439418695
29,272.3982605817273
30,292.8929429033079
31,317.7949751710605
32,333.9465925646408
33,340.5051363933503
34,362.09557735995224
35,364.44444128339336
36,345.7476115512766
37,366.8506572220492
38,360.14516332635094
39,381.23361342831487
40,379.29185850037163
41,379.923316884755
42,389.905778939426
43,405.58293194271545
44,410.18857338956
45,410.132583211257
46,425.25025354829796
47,409.1234710100464
48,426.49769129772284
49,436.599489224199
50,429.4153356642131
51,435.59086986375104
52,470.43240856227044
53,462.42905541831095
54,458.25888928997654
55,465.3547662072934
56,388.81012075437906
57,321.30395474375604
58,264.760766854597
59,236.25556830495316
60,183.95443157168407
61,176.6120741962203
62,140.62880416964177
63,116.85983350440314
64,116.9329997657366
65,81.27130264968743
66,70.22989358009305
67,77.51920008318223
68,65.46232305706533
69,48.52520563461622
70,59.11645006575525
71,77.81178665883981
72,90.01276773224393
73,91.70645978493995
74,72.5681864705854
75,81.73890360607436
76,105.38155330994974
77,130.0469299579202
78,129.62814245115513
79,130.06330793844054
80,157.04918391209938
81,166.92256917136802
82,172.50233621476897
83,185.39999926981906
84,227.40259359964463
85,228.2757646659586
86,220.40968737174643
87,226.8399566262528
88,228.02781313500304
89,244.9730008070526
90,228.68140494194728
91,231.1508286992732
92,218.27195923567191
93,212.39381962085386
94,183.04734625684952
95,181.21732544880706
96,170.46849716436793
97,177.74937466870247
98,169.03204526338317
99,153.78266164778162
100,155.66395131971086
101,141.35400000348326
102,142.91634153063686
103,153.4843175763835
104,166.0629099862482
105,179.57327263436792
106,195.0067488037333
107,190.4810343661793
108,180.65410214112993
109,205.21461195663926
110,204.1999679225816
111,210.42822447511102
112,217.75245897462872
113,215.9271134524263
114,214.02219446743968
115,234.4358404653339
116,230.79795557231228
117,246.38531795835738
118,267.83744175548173
119,292.9777516601353
120,307.7867039990585
121,321.404115117196
122,336.27631174706147
123,344.03604390907356
124,353.3498607163565
125,348.2627894851074
126,349.41605807269946
127,356.0244943414168
128,355.5631127273675
129,351.4843504782707
130,345.03095388547104
131,333.8578869228491
132,327.46038467439223
133,330.1180481349474
134,317.6356474409802
135,315.9322678873536
136,331.8967431403929
137,310.1746125671966
138,298.3597517356319
139,292.43714437627676
140,305.08721578478253
141,282.54158935689117
142,281.27142037395436
143,278.14934629489915
144,283.32058126275894
145,296.1232418077352
146,284.05283876031797
147,299.1768624567358
148,320.1175159414218
149,332.094327763786
150,344.09374111655376
151,357.37186330745703
152,351.2982520619165
153,352.1509741409595
154,374.58530601358046
155,379.7823510851653
156,393.7763216791637
157,395.4962051348804
158,399.1059808086764
159,397.45506630084816
160,404.09636416259417
161,394.77110550231487
162,397.8267490358645
163,413.132750729739
164,417.67113669278837
165,433.170426439829
166,449.4702902578018
167,468.4802904484302
168,492.45812823123197
169,502.8321645149316
170,484.44095823404876
171,500.49026790340446
172,523.8462042010556
173,502.2209882352303
174,491.4655989069628
175,496.4921145582172
176,497.6526019375175
177,479.7538566180745
178,493.3140697002344
179,487.6754575673701
