,Region 0,Region 1,Region 2,Region 3,Region 4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,54.0,0.0,18.94736842105263,15.0
2,18.94736842105263,72.0,18.94736842105263,37.89473684210526,15.0
3,18.94736842105263,36.0,0.0,56.8421052631579,30.0
4,37.89473684210526,0.0,0.0,0.0,60.0
5,37.89473684210526,108.0,18.94736842105263,75.78947368421052,60.0
6,0.0,72.0,56.8421052631579,18.94736842105263,0.0
7,75.78947368421052,126.0,94.73684210526316,18.94736842105263,90.0
8,75.78947368421052,72.0,18.94736842105263,37.89473684210526,45.0
9,75.78947368421052,18.0,18.94736842105263,56.8421052631579,75.0
10,18.94736842105263,90.0,56.8421052631579,113.6842105263158,75.0
11,113.6842105263158,126.0,189.47368421052633,227.3684210526316,75.0
12,189.47368421052633,198.0,170.52631578947367,246.31578947368422,210.0
13,265.2631578947368,144.0,227.3684210526316,75.78947368421052,180.0
14,322.10526315789474,324.0,378.94736842105266,265.2631578947368,225.0
15,284.2105263157895,432.0,284.2105263157895,303.1578947368421,150.0
16,454.7368421052632,450.0,435.7894736842105,378.94736842105266,255.0
17,284.2105263157895,198.0,454.7368421052632,246.31578947368422,285.0
18,208.42105263157896,144.0,227.3684210526316,227.3684210526316,405.0
19,397.89473684210526,594.0,378.94736842105266,492.63157894736844,420.0
20,227.3684210526316,522.0,246.31578947368422,492.63157894736844,300.0
21,360.0,468.0,303.1578947368421,378.94736842105266,660.0
22,227.3684210526316,162.0,113.6842105263158,75.78947368421052,405.0
23,341.05263157894734,414.0,322.10526315789474,416.8421052631579,555.0
24,170.52631578947367,252.0,208.42105263157896,360.0,420.0
25,284.2105263157895,180.0,360.0,284.2105263157895,435.0
26,170.52631578947367,126.0,246.31578947368422,94.73684210526316,735.0
27,113.6842105263158,18.0,208.42105263157896,56.8421052631579,405.0
28,208.42105263157896,144.0,265.2631578947368,265.2631578947368,555.0
29,37.89473684210526,180.0,132.6315789473684,170.52631578947367,360.0
30,170.52631578947367,54.0,284.2105263157895,170.52631578947367,600.0
31,75.78947368421052,54.0,151.57894736842104,56.8421052631579,240.0
32,56.8421052631579,144.0,170.52631578947367,189.47368421052633,360.0
33,94.73684210526316,108.0,94.73684210526316,94.73684210526316,285.0
34,56.8421052631579,126.0,113.6842105263158,132.6315789473684,360.0
35,94.73684210526316,54.0,151.57894736842104,75.78947368421052,330.0
36,75.78947368421052,72.0,113.6842105263158,94.73684210526316,225.0
37,56.8421052631579,72.0,18.94736842105263,151.57894736842104,300.0
38,37.89473684210526,108.0,56.8421052631579,132.6315789473684,195.0
39,132.6315789473684,126.0,56.8421052631579,56.8421052631579,285.0
40,132.6315789473684,54.0,56.8421052631579,37.89473684210526,165.0
41,151.57894736842104,216.0,151.57894736842104,94.73684210526316,225.0
42,75.78947368421052,126.0,75.78947368421052,75.78947368421052,105.0
43,75.78947368421052,162.0,170.52631578947367,56.8421052631579,270.0
44,132.6315789473684,162.0,94.73684210526316,56.8421052631579,195.0
45,18.94736842105263,72.0,75.78947368421052,37.89473684210526,120.0
46,56.8421052631579,126.0,113.6842105263158,151.57894736842104,240.0
47,37.89473684210526,108.0,37.89473684210526,113.6842105263158,285.0
48,56.8421052631579,108.0,113.6842105263158,113.6842105263158,345.0
49,75.78947368421052,54.0,94.73684210526316,37.89473684210526,135.0
50,113.6842105263158,180.0,94.73684210526316,132.6315789473684,330.0
51,75.78947368421052,144.0,75.78947368421052,94.73684210526316,135.0
52,94.73684210526316,108.0,151.57894736842104,94.73684210526316,135.0
53,132.6315789473684,36.0,75.78947368421052,37.89473684210526,165.0
54,56.8421052631579,54.0,75.78947368421052,18.94736842105263,150.0
55,56.8421052631579,90.0,94.73684210526316,170.52631578947367,270.0
56,94.73684210526316,162.0,170.52631578947367,246.31578947368422,210.0
57,397.89473684210526,288.0,378.94736842105266,378.94736842105266,330.0
58,416.8421052631579,234.0,303.1578947368421,416.8421052631579,180.0
59,776.8421052631579,504.0,454.7368421052632,644.2105263157895,285.0
60,530.5263157894736,576.0,397.89473684210526,549.4736842105264,135.0
61,682.1052631578947,792.0,454.7368421052632,644.2105263157895,255.0
62,682.1052631578947,648.0,530.5263157894736,625.2631578947369,390.0
63,530.5263157894736,288.0,416.8421052631579,265.2631578947368,360.0
64,852.6315789473684,720.0,454.7368421052632,795.7894736842105,420.0
65,606.3157894736842,540.0,416.8421052631579,682.1052631578947,375.0
66,795.7894736842105,702.0,644.2105263157895,530.5263157894736,765.0
67,587.3684210526316,432.0,435.7894736842105,246.31578947368422,675.0
68,606.3157894736842,918.0,776.8421052631579,814.7368421052631,735.0
69,378.94736842105266,900.0,511.57894736842104,682.1052631578947,480.0
70,682.1052631578947,756.0,606.3157894736842,587.3684210526316,555.0
71,549.4736842105264,486.0,416.8421052631579,151.57894736842104,765.0
72,151.57894736842104,144.0,303.1578947368421,170.52631578947367,630.0
73,378.94736842105266,648.0,227.3684210526316,360.0,525.0
74,189.47368421052633,468.0,208.42105263157896,454.7368421052632,390.0
75,246.31578947368422,270.0,416.8421052631579,227.3684210526316,600.0
76,170.52631578947367,108.0,246.31578947368422,151.57894736842104,555.0
77,284.2105263157895,270.0,246.31578947368422,341.05263157894734,540.0
78,284.2105263157895,270.0,94.73684210526316,189.47368421052633,135.0
79,303.1578947368421,396.0,208.42105263157896,94.73684210526316,240.0
80,94.73684210526316,54.0,94.73684210526316,18.94736842105263,345.0
81,18.94736842105263,36.0,37.89473684210526,94.73684210526316,375.0
82,189.47368421052633,324.0,151.57894736842104,151.57894736842104,405.0
83,113.6842105263158,162.0,94.73684210526316,151.57894736842104,345.0
84,170.52631578947367,36.0,132.6315789473684,37.89473684210526,495.0
85,189.47368421052633,90.0,37.89473684210526,56.8421052631579,255.0
86,132.6315789473684,144.0,37.89473684210526,170.52631578947367,420.0
87,151.57894736842104,108.0,75.78947368421052,75.78947368421052,285.0
88,303.1578947368421,108.0,56.8421052631579,132.6315789473684,345.0
89,113.6842105263158,54.0,37.89473684210526,113.6842105263158,375.0
90,151.57894736842104,18.0,56.8421052631579,113.6842105263158,345.0
91,208.42105263157896,90.0,18.94736842105263,208.42105263157896,390.0
92,151.57894736842104,108.0,18.94736842105263,75.78947368421052,285.0
93,170.52631578947367,72.0,113.6842105263158,94.73684210526316,450.0
94,113.6842105263158,36.0,56.8421052631579,18.94736842105263,180.0
95,170.52631578947367,144.0,113.6842105263158,37.89473684210526,300.0
96,94.73684210526316,90.0,56.8421052631579,56.8421052631579,240.0
97,113.6842105263158,108.0,132.6315789473684,75.78947368421052,330.0
98,113.6842105263158,108.0,208.42105263157896,94.73684210526316,315.0
99,0.0,72.0,170.52631578947367,37.89473684210526,225.0
100,56.8421052631579,126.0,75.78947368421052,151.57894736842104,360.0
101,56.8421052631579,126.0,94.73684210526316,151.57894736842104,240.0
102,0.0,72.0,151.57894736842104,189.47368421052633,375.0
103,18.94736842105263,36.0,227.3684210526316,75.78947368421052,210.0
104,37.89473684210526,126.0,94.73684210526316,170.52631578947367,495.0
105,94.73684210526316,90.0,94.73684210526316,56.8421052631579,330.0
106,246.31578947368422,72.0,132.6315789473684,94.73684210526316,450.0
107,94.73684210526316,36.0,151.57894736842104,75.78947368421052,420.0
108,75.78947368421052,18.0,208.42105263157896,94.73684210526316,240.0
109,208.42105263157896,72.0,113.6842105263158,94.73684210526316,315.0
110,113.6842105263158,54.0,56.8421052631579,56.8421052631579,120.0
111,94.73684210526316,72.0,208.42105263157896,94.73684210526316,390.0
112,18.94736842105263,72.0,75.78947368421052,18.94736842105263,315.0
113,94.73684210526316,144.0,94.73684210526316,151.57894736842104,555.0
114,132.6315789473684,126.0,37.89473684210526,94.73684210526316,510.0
115,94.73684210526316,144.0,56.8421052631579,56.8421052631579,615.0
116,94.73684210526316,72.0,75.78947368421052,56.8421052631579,510.0
117,56.8421052631579,36.0,56.8421052631579,18.94736842105263,390.0
118,75.78947368421052,144.0,75.78947368421052,56.8421052631579,675.0
119,113.6842105263158,90.0,56.8421052631579,37.89473684210526,375.0
120,94.73684210526316,72.0,113.6842105263158,37.89473684210526,585.0
121,18.94736842105263,54.0,56.8421052631579,37.89473684210526,375.0
122,37.89473684210526,90.0,75.78947368421052,94.73684210526316,450.0
123,56.8421052631579,72.0,75.78947368421052,56.8421052631579,420.0
124,37.89473684210526,126.0,94.73684210526316,132.6315789473684,465.0
125,18.94736842105263,18.0,94.73684210526316,37.89473684210526,450.0
126,0.0,18.0,94.73684210526316,0.0,420.0
127,18.94736842105263,90.0,56.8421052631579,94.73684210526316,570.0
128,37.89473684210526,90.0,37.89473684210526,75.78947368421052,375.0
129,37.89473684210526,72.0,56.8421052631579,18.94736842105263,525.0
130,37.89473684210526,72.0,151.57894736842104,18.94736842105263,525.0
131,56.8421052631579,90.0,151.57894736842104,75.78947368421052,375.0
132,75.78947368421052,126.0,94.73684210526316,37.89473684210526,195.0
133,94.73684210526316,90.0,113.6842105263158,94.73684210526316,255.0
134,113.6842105263158,54.0,0.0,37.89473684210526,195.0
135,37.89473684210526,72.0,0.0,56.8421052631579,135.0
136,56.8421052631579,72.0,56.8421052631579,56.8421052631579,120.0
137,75.78947368421052,18.0,37.89473684210526,170.52631578947367,165.0
